area;urbano;quartos;banheiros;vaga_estacionamento;andar;aceita_animais;mobiliada;condominio;aluguel;iptu;seguro
190;1;2;3;2;0;1;0;0;13,050;1,284;197
205;1;4;4;6;5;1;0;2,450;2,720;959;35
96;1;3;3;2;8;1;0;866;1,790;90;23
396;1;4;4;4;0;1;0;0;10,000;750;151
74;0;3;2;1;7;1;0;650;1,600;250;21
30;0;1;1;0;5;0;1;380;500;10;7
64;1;3;2;1;7;1;0;522;1,400;65;18
105;1;3;2;2;1;1;1;1,544;7,800;488;99
50;1;1;2;1;10;1;1;1,050;5,900;259;75
60;1;2;1;0;3;0;0;400;1,300;0;17
50;1;2;1;1;6;1;1;585;2,000;49;26
90;1;2;2;0;0;1;0;0;1,700;38;26
130;1;3;2;1;8;0;1;1,200;7,500;417;96
20;1;1;1;0;1;0;1;;1,950;0;25
400;1;4;3;2;0;1;0;0;5,650;338;85
220;1;3;3;5;0;1;0;0;7,500;0;113
750;1;7;6;5;0;1;1;0;5,800;559;88
20;1;1;1;0;0;1;1;602;1,800;130;23
140;0;3;2;2;15;0;0;998;2,100;283;27
22;1;1;1;0;0;0;0;250;1,080;14;14
345;1;2;3;2;4;0;0;3,655;12,000;783;153
46;0;2;1;1;3;0;0;250;1,100;53;5
35;1;1;1;1;2;0;1;550;3,250;30;42
72;0;2;2;1;2;1;0;500;1,200;97;16
60;1;1;1;2;2;0;0;3,398;1,900;288;25
180;1;3;2;4;0;0;1;0;11,000;667;166
83;1;3;2;1;9;0;1;805;3,300;80;42
50;1;1;1;0;1;1;0;519;1,550;28;20
38;1;1;1;1;14;0;1;1,620;3,020;279;39
140;1;3;3;2;2;1;0;1,300;2,800;292;36
62;0;2;1;1;3;1;0;485;980;48;13
70;1;1;1;0;2;1;1;1,500;4,000;284;51
55;0;1;1;0;14;1;0;600;1,100;60;14
60;0;2;1;1;1;0;0;430;815;20;6
85;1;2;2;1;6;1;0;1,250;1,738;261;23
134;1;3;3;3;11;0;0;1,655;8,000;380;102
200;1;3;2;2;19;1;0;2,573;10,000;1,121;127
170;1;3;2;2;0;1;1;0;3,900;267;59
46;1;1;1;2;16;1;1;2,210;6,220;255;79
20;1;1;1;0;4;1;1;602;1,800;130;23
58;1;2;2;1;5;0;1;1,000;4,500;144;58
96;1;3;2;3;4;1;0;1,024;2,350;313;30
190;1;3;3;3;6;1;0;3,000;13,000;84;165
87;1;3;2;4;14;1;0;800;2,000;67;26
42;1;1;1;0;5;1;0;350;2,400;94;31
145;1;3;3;1;10;1;1;1,380;11,000;375;140
250;1;4;6;4;12;0;0;3,000;14,500;875;184
90;1;2;1;1;1;1;0;1,000;3,000;50;39
250;1;6;2;2;0;1;0;0;2,472;26;38
500;1;3;4;5;0;1;1;0;7,620;1,094;115
80;1;2;2;2;6;1;1;1,581;8,800;112;112
120;0;3;2;3;0;1;0;0;2,500;180;38
265;0;3;3;2;0;1;0;0;2,400;140;37
50;0;2;1;1;4;1;0;330;1,080;0;14
126;0;3;3;2;1;1;0;780;3,800;167;49
55;0;2;1;1;1;1;0;390;720;0;10
29;1;1;1;1;20;1;1;700;2,700;84;35
59;1;2;1;1;24;1;0;514;2,450;138;32
200;1;2;4;4;4;1;0;2,450;7,800;1,417;99
74;1;3;2;1;7;1;0;577;2,196;100;28
290;1;4;5;2;6;1;0;4,300;10,000;875;127
172;1;3;4;3;1;1;0;1,596;8,000;820;102
25;1;1;1;0;5;0;1;270;2,600;67;33
50;1;1;1;1;0;1;0;0;1,100;0;17
40;1;1;1;0;3;1;0;300;1,100;0;14
80;1;2;2;2;0;1;0;0;2,465;0;38
280;1;6;6;3;0;1;0;0;5,000;1,118;76
60;1;1;1;1;12;1;1;850;4,723;0;18
115;1;2;3;2;8;1;0;1,380;12,000;790;153
540;1;3;3;4;9;1;0;6,200;15,000;3,500;191
76;1;2;1;1;12;0;1;906;4,250;217;54
150;0;4;5;2;1;1;0;1,100;2,980;360;38
130;1;3;2;1;8;1;0;2,400;5,500;209;70
64;0;2;1;1;0;1;0;441;730;18;10
55;1;2;2;1;2;1;0;420;1,300;50;17
50;1;1;1;0;1;1;0;600;1,300;0;17
120;1;2;3;2;20;1;0;2,000;7,000;180;89
236;0;3;4;4;10;1;0;1,600;11,000;440;140
30;0;1;1;0;4;1;0;336;550;10;7
270;0;3;3;0;0;1;1;0;8,000;500;121
48;0;1;1;0;9;1;0;350;670;21;9
198;0;6;3;4;0;1;0;0;2,000;145;31
50;1;1;1;0;0;1;0;0;1,080;59;17
185;1;3;3;3;20;1;0;2,670;5,600;907;71
440;1;4;4;4;0;1;0;0;12,000;2,500;181
119;0;3;2;2;7;1;0;1,650;1,200;212;16
57;1;2;2;2;16;1;0;510;1,690;11;22
65;1;2;1;1;1;1;0;100;1,400;84;18
35;1;2;1;1;0;1;0;125;2,100;0;32
51;0;1;2;1;16;0;0;703;2,100;150;27
70;0;2;3;1;7;1;0;1,196;2,004;0;26
90;1;2;1;1;0;1;0;;1,500;0;23
320;1;3;4;3;8;1;0;3,400;6,800;1;87
250;1;7;5;2;0;1;0;0;12,750;1,045;192
70;1;2;1;1;6;1;0;660;3,800;45;49
169;1;4;6;3;7;1;1;2,560;10,000;734;127
33;1;1;1;0;1;0;0;338;1,100;63;14
225;1;4;4;3;7;1;0;2,800;5,000;1,267;64
42;1;1;1;0;2;1;1;0;3,256;0;42
120;1;3;4;1;0;0;0;0;4,000;4;61
70;1;3;2;2;3;0;0;750;1,500;148;20
90;1;1;1;2;0;1;1;0;3,200;137;49
260;1;4;5;4;9;1;1;2,014;3,300;1,000;42
243;1;3;3;4;10;1;0;2,678;5,500;1,950;70
100;1;1;1;0;0;1;0;0;1,530;0;12
240;1;3;4;3;9;1;0;3,211;5,100;1,102;65
45;0;1;1;1;4;1;0;700;870;46;12
65;1;1;1;1;2;1;1;680;5,000;14;64
47;1;1;1;0;4;0;0;100;1,000;76;13
60;1;2;1;0;2;1;1;589;3,300;65;42
340;1;4;6;6;0;1;1;;15,000;250;226
500;1;4;4;0;0;1;0;0;6,000;467;91
55;1;2;1;1;14;1;0;420;1,399;0;18
240;1;3;4;3;3;1;1;3,600;4,950;1,000;63
65;1;2;2;1;1;1;0;650;2,315;0;7
68;1;1;1;0;0;0;0;0;1,213;0;6
500;1;4;4;3;0;1;0;;10,800;988;163
198;1;2;2;2;13;1;0;1,700;5,500;320;70
62;1;2;1;1;13;1;0;543;2,200;59;28
60;1;2;2;1;4;1;0;632;2,806;25;36
187;1;3;2;3;0;0;1;1,700;8,400;584;127
25;1;1;1;0;23;1;0;432;2,200;45;28
230;1;3;4;3;0;1;0;0;3,600;409;55
17;1;1;1;0;1;0;1;300;2,400;50;31
67;1;2;2;1;17;1;0;740;2,200;170;28
20;1;1;1;0;1;1;1;;2,060;0;27
118;1;3;2;2;7;1;1;1,880;8,500;434;108
43;1;1;1;1;2;1;0;850;2,430;172;31
195;1;2;3;1;10;1;0;1,500;6,000;334;77
141;1;3;4;3;7;0;0;1,646;7,500;735;96
45;1;1;1;1;1;0;0;550;2,300;0;30
48;1;1;1;1;19;1;0;588;1,525;0;6
280;1;3;4;2;3;0;0;4,000;6,000;1,059;77
170;1;3;2;2;5;0;0;2,199;5,000;423;64
90;1;3;2;1;0;1;0;0;3,260;0;50
35;0;1;1;1;7;1;0;392;1,100;13;14
16;1;1;1;0;8;0;0;390;2,300;100;30
68;0;1;1;1;10;0;1;600;1,000;48;13
80;1;3;5;2;4;0;0;3,460;12,000;1,000;153
190;1;3;2;1;6;1;1;3,040;8,000;556;102
150;1;3;4;2;0;0;0;0;3,400;0;52
112;1;3;3;2;12;1;1;1,100;2,670;188;34
145;1;3;4;3;1;0;0;1,200;6,000;750;77
47;0;1;1;1;8;1;0;560;1,100;46;14
128;1;3;2;1;3;1;1;1,094;4,529;242;58
250;1;3;4;4;0;1;0;0;4,500;334;68
120;1;3;1;0;2;1;0;250;1,460;0;21
110;1;2;2;2;0;0;0;0;2,700;300;41
400;1;2;5;4;0;1;0;0;6,000;484;91
35;1;1;1;1;9;0;1;1,050;2,600;317;33
107;1;2;2;2;18;1;1;1,800;12,800;417;163
97;1;2;2;0;1;1;0;1,200;5,600;0;71
70;1;2;1;0;1;0;0;350;1,050;116;14
20;1;1;1;0;3;0;1;150;3,142;67;40
130;1;3;2;2;6;1;0;1,100;3,500;209;45
120;1;3;2;3;16;1;0;1,400;2,000;292;26
110;1;3;3;2;2;1;1;1,000;3,800;192;49
300;1;3;5;3;0;1;0;0;11,900;250;179
349;1;4;5;4;8;0;0;3,100;11,000;0;140
97;1;3;2;2;1;1;0;730;3,000;303;39
84;1;4;1;3;5;0;0;1,914;6,000;804;77
180;1;2;2;1;0;0;0;0;2,800;105;43
286;1;4;4;5;0;1;0;0;10,000;1,000;151
500;1;5;7;5;22;1;0;5,500;14,000;2,084;178
110;1;3;3;3;4;1;0;1,195;2,350;670;30
196;1;4;4;0;11;1;0;2,450;6,000;1,458;77
33;1;1;1;1;12;0;0;552;4,150;95;53
400;1;4;4;3;0;1;0;;9,000;542;136
170;1;2;1;0;1;1;1;0;2,481;0;26
90;1;1;1;0;0;1;0;0;2,200;109;34
184;1;3;4;3;12;1;0;2,700;1,400;692;18
117;1;2;2;1;11;0;1;630;7,130;150;91
11;1;1;1;0;0;0;1;0;1,181;0;15
57;0;1;1;1;2;1;0;605;800;66;11
16;1;1;1;0;1;0;0;0;850;30;11
180;1;4;3;1;4;1;1;1,572;5,000;240;64
250;1;3;4;2;16;1;0;3,300;6,000;517;77
220;1;3;4;2;0;1;1;0;7,000;434;106
360;1;3;5;4;22;1;0;2,398;3,135;1,467;40
122;1;3;4;3;5;1;0;;4,500;0;58
138;1;3;4;3;2;0;0;790;7,000;690;89
110;1;3;1;1;1;1;0;1,235;1,400;0;18
220;1;4;3;3;3;1;0;1,600;3,400;0;44
118;1;3;2;1;11;0;0;1,116;4,775;185;61
180;1;2;2;1;15;1;0;1,800;5,350;0;68
52;1;2;1;1;7;1;0;540;1,300;63;17
30;1;1;1;0;1;1;1;0;1,550;21;20
160;1;3;3;2;5;1;1;1,650;1,500;419;20
209;0;3;3;2;0;0;0;593;2,550;237;39
450;1;5;5;6;0;1;0;0;9,500;1,345;143
117;1;3;3;3;10;1;0;2,280;2,300;700;30
900;1;4;6;8;0;1;0;0;15,000;4,417;226
200;1;3;3;0;0;1;0;;4,500;71;68
128;1;3;3;2;10;1;0;2,600;3,800;605;49
140;1;3;2;2;2;1;0;1,480;3,700;167;47
180;1;3;3;4;27;1;0;2,000;7,000;859;89
280;1;4;4;5;9;1;0;3,000;3,200;875;41
420;1;4;6;4;8;1;0;3,500;15,000;2,250;191
48;1;1;1;1;8;1;1;740;2,700;137;35
148;1;3;2;2;2;0;1;2,830;9,000;267;115
75;1;2;1;1;5;0;0;748;2,000;0;26
44;1;1;1;0;1;0;0;417;3,016;0;12
35;1;1;1;0;0;1;0;0;1,100;30;14
320;1;4;2;2;0;1;1;0;8,000;642;121
98;0;3;2;1;1;1;0;727;1,233;84;16
51;0;1;1;0;12;0;1;707;1,300;45;17
322;1;4;5;5;17;1;1;2,700;15,000;1,875;191
187;1;4;5;3;5;1;0;3,912;5,300;1,424;68
62;1;3;2;1;6;0;1;1,550;4,800;167;61
130;1;2;2;1;0;1;0;1,100;4,300;100;55
600;0;4;6;3;0;1;0;1,123;5,500;819;83
520;1;3;4;2;0;1;0;0;9,000;1,500;136
86;1;1;2;1;13;1;1;1,800;6,500;375;83
72;1;2;2;1;6;1;0;1,100;5,431;334;69
550;1;4;4;4;0;1;0;0;14,000;1,334;211
50;1;1;1;0;0;0;0;0;1,220;0;19
298;1;5;3;3;0;1;0;0;8,000;1,384;121
74;0;3;2;1;10;1;0;700;1,800;120;23
41;1;1;1;0;17;1;1;450;2,470;0;32
80;0;3;2;2;2;1;0;750;1,450;110;19
130;1;3;2;1;1;1;0;1,200;4,500;100;58
64;1;1;2;2;15;1;0;691;2,100;92;27
50;1;1;1;1;9;0;0;1,170;2,730;9;35
200;1;3;2;4;0;1;0;0;3,500;0;53
70;1;1;1;2;9;1;1;2,150;7,000;542;89
41;0;1;1;1;11;1;0;390;1,950;65;14
89;1;2;2;0;2;1;0;1,000;1,900;0;25
250;1;4;2;8;0;1;0;0;13,040;500;197
105;1;2;1;0;0;1;0;0;1,800;125;28
150;1;2;2;1;0;1;0;1;2,100;0;32
50;1;2;1;1;14;0;0;450;1,950;0;25
180;1;3;2;1;0;1;0;;5,400;459;82
50;1;1;1;0;0;0;0;0;1,000;0;16
70;0;1;1;2;0;1;0;0;1,450;5;22
177;1;2;2;2;0;1;0;0;6,000;342;91
177;1;4;5;4;12;1;0;1,500;9,200;959;117
18;1;1;1;0;0;1;0;0;1,710;0;22
200;1;3;4;2;0;1;0;0;2,900;1,100;44
45;1;1;1;1;1;0;1;3,000;5,520;0;70
70;0;2;1;1;3;1;0;220;750;43;10
66;1;3;2;1;9;1;0;708;2,179;13;28
48;1;2;1;0;2;1;0;90;1,150;90;15
515;1;5;4;3;5;1;0;5,600;15,000;250;191
55;1;2;2;1;7;1;0;650;2,000;0;26
350;1;4;5;2;0;1;0;0;5,000;325;76
260;1;3;3;3;8;1;1;2,210;5,000;842;64
78;1;2;1;1;7;1;0;645;2,000;35;26
35;1;1;1;0;6;1;1;420;1,780;0;23
106;1;2;1;2;0;0;0;0;2,100;110;32
500;1;3;3;5;0;1;1;0;15,000;1,125;226
38;1;1;1;0;0;0;0;;1,650;0;25
153;1;2;2;1;15;1;1;1,500;11,900;350;151
64;1;2;2;2;5;1;0;830;1,600;205;21
260;1;3;4;4;0;1;0;0;4,500;0;68
50;0;1;1;1;11;1;0;1,500;500;105;7
170;1;3;2;1;14;1;1;1,700;4,500;85;58
120;1;2;2;2;15;1;1;1,043;4,880;264;62
700;1;4;5;2;10;1;1;3,000;8,000;402;102
270;1;5;7;2;0;1;0;0;3,978;89;60
40;1;1;1;0;6;1;0;890;3,463;0;32
640;1;4;4;4;12;1;1;5,400;10,200;1,584;130
40;1;1;1;0;0;1;0;0;980;59;15
40;1;2;1;0;3;1;0;348;1,100;0;14
42;1;1;1;1;0;1;1;450;2,000;88;26
62;1;1;1;0;3;1;0;550;2,100;0;27
106;1;2;3;2;18;0;1;950;5,000;250;64
103;1;3;2;1;7;1;0;944;4,400;126;56
360;1;3;5;3;13;1;0;4,300;8,500;1,500;108
113;1;1;1;2;9;1;1;650;6,400;0;82
164;1;4;4;3;1;1;0;1,840;6,000;550;77
110;1;3;2;3;0;1;0;0;2,800;15;43
110;1;2;2;1;8;1;1;1,285;4,348;196;56
136;1;4;3;1;3;1;0;1,800;4,200;312;54
65;0;1;1;1;9;1;0;380;1,200;83;16
62;1;2;1;1;8;0;0;735;1,345;35;18
163;0;3;5;3;20;1;0;1,450;9,800;350;125
47;1;2;1;1;12;1;0;597;1,570;0;20
50;1;1;1;1;1;1;0;795;3,500;213;45
79;1;3;2;2;6;1;1;900;3,000;209;39
250;1;3;3;2;7;0;1;1,400;5,380;234;69
50;1;2;1;1;6;1;0;380;1,210;0;16
150;1;3;3;2;0;1;0;0;5,000;235;76
76;0;2;1;0;2;1;0;300;700;100;9
72;1;2;2;1;7;1;0;520;1,800;159;23
35;1;1;1;1;17;1;1;1,280;4,000;200;51
250;1;3;4;4;16;1;0;3,421;10,700;1,224;136
85;0;3;1;1;9;0;0;598;1,110;63;15
60;0;1;1;1;14;1;0;583;1,100;49;14
47;0;2;1;1;0;1;0;255;1,290;33;17
104;1;3;3;2;3;0;1;915;9,000;254;115
203;0;3;1;2;0;1;0;0;3,300;117;50
136;1;3;2;1;85;1;0;1,513;3,500;260;45
53;1;1;1;1;3;1;0;694;4,500;200;58
400;1;4;3;2;0;1;0;0;15,000;1,870;226
40;1;1;1;1;14;1;1;480;4,200;75;54
38;1;1;1;0;6;1;0;0;1,680;0;22
340;1;4;6;4;8;1;1;3,100;2,800;1,667;36
134;0;3;3;2;7;0;0;1,000;2,500;177;32
97;1;2;2;0;9;1;1;453;3,000;0;39
90;1;1;1;0;0;0;0;;1,150;59;18
260;1;4;5;2;1;1;1;2,600;8,000;417;102
66;1;2;1;0;7;1;0;356;1,650;0;21
92;1;2;1;1;12;0;0;2,750;2,930;448;38
92;1;3;3;1;3;1;1;750;4,250;21;54
155;1;3;4;2;14;1;0;1,400;13,100;409;166
30;1;1;1;0;1;0;0;;900;0;12
27;1;1;1;0;5;0;0;1,405;3,500;1;45
175;1;4;3;2;0;1;0;0;3,200;380;49
326;1;3;4;4;12;1;0;2,808;6,500;1,605;83
236;1;4;5;4;7;1;0;3,500;10,000;1,834;127
119;0;3;1;1;5;1;0;926;1,200;100;16
23;1;1;1;0;23;1;0;383;2,050;40;26
260;1;2;4;4;19;0;0;2,000;8,000;667;102
400;1;3;3;2;0;0;0;0;12,000;0;181
87;1;1;1;2;14;1;1;870;7,900;150;101
65;1;2;1;1;0;1;0;0;1,800;0;28
210;1;3;4;4;11;1;1;2,000;15,000;1,000;191
250;1;3;4;2;0;1;0;0;4,200;192;64
155;1;3;2;3;4;1;1;2,600;11,700;667;149
300;0;4;3;5;0;1;0;0;4,100;20;62
70;0;3;2;2;4;1;0;500;1,800;78;23
68;1;1;2;1;11;1;0;1,200;4,500;100;58
220;0;3;5;3;4;0;1;2,000;7,900;417;101
91;0;3;2;2;12;1;0;700;2,250;175;29
230;0;4;4;8;0;1;0;0;5,100;320;77
48;0;2;1;0;4;1;0;288;950;45;13
90;1;2;2;2;15;0;1;1,400;10,000;0;127
60;1;1;1;1;15;1;1;1,000;5,500;200;70
450;1;4;4;3;14;1;0;5,500;15,000;0;191
16;1;1;1;0;1;0;0;0;850;35;11
100;1;3;2;1;8;1;0;1,100;1,400;291;18
300;1;3;3;3;0;1;0;1;3,400;417;52
151;1;3;4;3;14;0;1;1,700;6,800;475;87
150;1;3;4;3;12;1;1;2,092;7,608;730;97
57;1;2;1;1;7;1;0;570;1,500;67;20
30;1;1;1;1;4;0;1;1,787;1,200;144;16
53;0;1;1;1;8;1;1;1,350;3,110;85;40
270;1;3;4;3;0;1;0;;6,800;417;103
78;1;2;2;2;8;1;1;1,400;5,800;334;74
20;1;1;1;0;1;0;1;150;3,142;67;40
140;1;5;2;1;1;1;1;0;3,999;200;51
155;1;3;3;2;2;1;1;2,300;12,000;700;153
118;1;3;2;4;1;1;0;850;2,250;334;29
235;0;4;4;3;13;1;0;3,450;5,500;541;70
400;1;4;4;4;9;1;0;4,700;9,000;1,125;115
80;1;2;2;1;6;0;0;1,015;3,500;117;45
50;1;1;1;0;2;0;1;710;3,100;85;12
55;0;2;2;1;9;1;0;337;2,500;86;32
400;1;4;4;4;0;1;0;0;8,500;1,250;128
63;1;3;2;0;18;1;0;550;1,800;0;23
325;1;4;3;2;3;1;0;4,500;8,500;1,111;108
200;1;3;3;2;7;0;1;2,500;6,000;125;77
58;1;2;2;1;5;1;1;790;5,000;192;64
180;1;3;2;3;0;1;0;0;4,600;3,600;70
159;1;3;2;0;5;1;0;1,774;4,507;444;19
420;1;4;3;4;0;1;0;0;15,000;1,250;226
88;1;3;1;2;5;1;0;685;1,500;35;20
70;0;3;1;1;6;1;0;549;1,135;0;5
246;1;4;5;4;12;0;0;2,200;10,000;750;127
53;1;2;1;1;1;1;0;550;1,250;0;16
22;1;1;1;1;19;0;0;500;2,200;0;28
80;1;1;1;0;0;1;0;0;1,700;60;26
30;1;1;1;1;11;1;1;500;2,570;;8
157;0;3;5;3;1;1;0;2,300;7,000;442;89
450;1;3;3;8;0;1;1;0;5,015;400;76
90;1;3;2;0;0;1;0;295;2,572;53;8
88;1;2;1;0;7;0;0;800;1,800;0;23
46;0;1;1;0;5;1;1;1,300;1,950;0;25
189;1;4;2;2;4;1;0;1,970;8,000;559;102
49;1;2;1;1;10;0;0;395;1,250;0;16
180;1;3;2;2;2;1;0;2,500;7,000;1,200;89
128;1;3;3;2;1;1;0;1,090;7,000;500;89
60;1;2;2;0;0;1;0;518;1,300;170;10
74;1;3;2;1;7;1;0;982;1,710;48;22
80;1;1;1;1;10;1;0;1,800;2,500;180;32
150;1;3;2;1;0;1;0;0;2,500;0;38
70;1;3;2;1;3;1;0;799;1,900;182;25
113;1;3;2;2;2;1;0;1,300;4,800;250;61
50;0;1;1;0;0;1;0;0;880;0;14
300;1;4;2;2;1;1;1;3,000;6,500;1,091;83
140;1;2;3;1;3;1;1;1,306;5,000;250;64
300;1;4;5;1;8;1;1;3,700;8,550;400;109
350;1;5;4;8;0;0;0;;9,000;762;136
78;1;2;1;1;0;1;0;;1,700;82;26
110;0;2;2;0;18;1;1;960;4,200;218;54
423;1;4;5;7;28;1;0;5,785;14,000;2,647;178
110;1;1;1;0;20;1;0;923;3,182;0;14
136;1;2;4;2;7;1;0;1,540;4,800;242;61
56;1;2;1;1;3;1;0;1,091;1,700;72;22
20;1;1;1;0;3;1;1;402;2,800;68;36
115;1;3;2;2;8;1;0;1,900;2,900;400;37
140;1;2;2;1;3;0;0;2,000;12,500;279;159
64;1;2;1;1;2;1;0;500;1,400;11;18
60;1;2;1;1;15;1;1;990;2,500;42;32
132;1;3;2;1;11;1;0;1,477;2,800;45;36
210;1;4;3;3;11;1;0;1,250;4,000;750;51
300;1;4;4;3;0;1;1;0;5,080;284;77
130;1;3;2;2;0;1;0;0;3,300;108;50
108;1;2;4;2;7;1;0;1,289;4,430;522;57
75;1;2;2;1;4;1;0;926;3,005;203;10
250;1;3;3;3;0;1;0;0;4,500;150;68
55;0;1;1;0;5;1;0;473;500;17;7
129;1;3;2;3;5;0;1;1,260;2,950;450;38
158;1;4;4;3;5;1;0;2,100;6,600;375;84
100;1;3;3;2;1;1;0;1,200;3,248;384;42
130;1;3;2;3;0;1;1;0;7,450;167;112
25;1;1;1;0;0;1;0;20;1,200;25;19
240;1;3;2;3;0;1;0;0;9,265;525;140
196;1;3;4;2;1;0;0;2,200;3,300;559;42
39;1;1;1;1;5;1;0;460;3,300;157;42
46;0;2;1;1;3;1;0;250;970;42;13
120;1;3;2;0;1;1;0;0;2,500;84;38
270;1;2;2;3;17;1;0;2,200;8,650;0;110
700;1;4;10;0;0;1;0;0;15,000;8,750;226
462;0;4;7;4;0;1;0;;5,000;590;76
35;1;1;1;1;9;1;1;475;3,150;0;23
90;1;3;3;2;12;0;0;897;3,500;0;45
98;1;3;2;2;1;1;0;1,400;1,760;383;23
159;1;2;2;1;8;1;1;1,236;4,200;251;54
115;1;3;5;2;10;1;0;1,830;7,000;495;89
400;1;3;3;1;3;1;0;3,000;11,000;142;140
60;0;2;1;1;9;0;0;498;1,317;25;17
220;1;3;4;3;11;1;1;3,300;8,000;1,000;102
67;1;2;1;1;4;1;0;1,500;2,099;250;27
165;1;3;4;3;7;1;0;1,700;4,500;573;58
100;1;2;4;0;1;1;0;0;3,000;0;39
55;1;1;2;1;2;1;0;1,317;2,576;230;10
35;0;1;1;1;2;1;0;254;600;92;8
51;1;1;1;1;10;1;1;630;3,700;0;47
73;1;2;2;1;13;1;0;700;1,250;150;16
320;1;5;5;4;4;1;0;5,800;5,500;1,500;70
35;1;1;1;1;7;1;0;380;2,300;100;30
46;1;1;1;0;3;1;0;100;1,600;0;21
350;0;4;3;4;0;0;0;500;6,000;500;91
340;1;4;4;3;2;1;0;0;14,000;834;178
28;1;1;1;1;4;0;1;1,590;1,899;198;5
125;1;3;2;2;0;1;1;;3,000;150;46
44;1;1;1;1;3;1;0;560;3,450;0;13
95;1;2;1;1;15;1;0;900;3,000;67;39
310;1;3;4;3;8;1;0;2,400;4,500;900;58
48;1;2;1;0;3;1;0;100;1,350;0;18
30;1;4;4;2;0;1;1;0;5,000;4,247;76
46;0;1;1;1;10;1;0;550;580;43;8
141;1;3;2;2;4;1;0;1,650;7,400;0;94
58;1;1;1;1;17;1;0;610;1,600;89;21
48;1;2;1;0;0;1;0;100;1,350;0;18
560;1;5;5;6;0;1;0;0;15,000;1,917;226
98;1;3;2;1;9;1;0;1,350;5,500;200;70
340;1;3;4;4;2;0;0;7,000;12,500;3,084;159
224;1;4;4;3;2;1;1;2,900;9,350;917;119
50;0;1;1;1;3;1;0;392;800;320;11
250;1;3;4;3;8;1;0;2,700;7,000;1,167;89
100;1;2;2;1;6;1;0;1,050;4,000;240;51
600;1;3;3;4;0;1;0;0;6,800;966;103
114;0;3;2;1;4;1;0;967;1,400;176;18
67;0;2;1;1;2;1;0;500;1,230;42;16
160;1;4;3;2;9;1;1;2,800;10,330;286;131
130;1;2;2;1;17;1;0;993;5,600;75;71
114;1;1;1;1;6;1;0;987;2,800;208;36
52;1;2;1;1;4;1;0;;1,450;0;19
31;1;1;1;0;6;1;1;430;2,300;0;30
78;1;2;1;1;1;1;0;410;2,500;0;32
60;1;2;2;1;3;1;1;900;5,700;212;73
40;1;1;1;0;5;1;0;578;2,390;0;31
145;1;4;4;3;14;1;0;1,663;4,500;584;58
127;1;2;3;2;2;1;0;1,910;6,900;500;88
330;1;4;5;4;13;1;0;2,870;10,000;1,119;127
180;0;4;3;1;11;0;0;1,500;1,800;252;23
120;1;4;3;2;13;1;1;1,250;3,500;209;45
